asset_id,asset_name,category,warehouse,quantity,reorder_level,unit_price,supplier_id,last_updated,status
AST9B33670F,fill everything,Tools,Jacksonville,64,9,664.89,VND0D050C25,2024-05-28,Active
AST7256AF09,every positive,Furniture,San Antonio,99,29,13.79,VNDF545674F,2025-06-13,Low Stock
ASTD887E97F,police since,Tools,New York,60,11,294.9,VNDD6FBFD33,2026-03-06,Active
AST322C8EB2,place along,Vehicles,Los Angeles,114,23,627.81,VNDBA0CC89B,2025-09-11,Low Stock
ASTDC98C30A,newspaper western,Computers,San Diego,154,23,90.49,VND4F7B00FC,2025-12-16,Active
AST98DC0A4D,fall enjoy,Vehicles,Philadelphia,69,7,737.52,VNDB1228DD8,2024-06-15,Active
AST0E8ADD37,deal throughout,Computers,Chicago,16,4,431.4,VNDF9F92F21,2026-05-21,Active
AST0576FDF1,future letter,Computers,Chicago,5,1,840.6,VND2258ABB1,2026-05-11,Active
AST569A59AF,style husband,Tools,San Diego,128,15,843.72,VND5B2EC8F1,2026-01-24,Active
ASTFD16C7F0,eight red,Machinery,Houston,152,41,801.65,VNDDFDF8860,2026-03-19,Active
AST12B0996A,chair different,Vehicles,San Diego,149,38,776.81,VND23FDC749,2025-12-22,Active
ASTE1F81685,able popular,Tools,San Diego,97,21,961.78,VND27CBAF37,2026-03-16,Active
AST62C73E79,firm sort,Tools,Chicago,122,14,278.13,VND139B2EB5,2025-03-19,Active
AST94BF1EAE,dark spring,Vehicles,Houston,143,24,498.06,VND07F575C8,2024-02-25,Discontinued
AST829F4468,behind nature,Computers,Los Angeles,253,32,82.46,VND67D32B2F,2026-01-13,Active
ASTF0BFCB53,seem just,Machinery,San Jose,3,1,449.72,VNDC73A3BD4,2025-10-28,Active
AST3610CE6B,inside information,Tools,San Jose,76,14,211.31,VND76F0F0E0,2024-09-15,Active
AST3CCF528C,church both,Vehicles,Jacksonville,106,16,437.01,VND9E3DBA67,2025-06-16,Active
ASTFB06C69A,source even,Infrastructure,Los Angeles,59,9,546.47,VNDF78A924D,2026-08-05,Active
AST25C5B1AE,quickly yard,Vehicles,Houston,99,11,739.01,VND6E96F23C,2025-06-08,Active
ASTFDF87983,father so,Vehicles,Los Angeles,91,24,837.76,VNDB1228DD8,2025-04-12,Active
ASTD37A7420,safe fact,Infrastructure,Chicago,168,34,859.75,VNDD6FBFD33,2025-09-14,Low Stock
AST12FC0157,player those,Infrastructure,Philadelphia,157,40,972.85,VND1DF7F1DC,2024-05-28,Active
ASTEDC2AE2A,yard born,Tools,Los Angeles,89,12,984.0,VND221D1C44,2025-12-02,Active
AST481A7F78,successful choice,Furniture,Chicago,89,16,426.37,VND7A22016F,2026-04-18,Active
AST77E9300C,follow evening,Vehicles,Los Angeles,35,4,731.27,VND44174C92,2025-12-25,Active
ASTFDD2BFEA,push pick,Vehicles,Austin,124,30,484.42,VND190C8D31,2024-11-18,Active
AST6B151BF9,however wrong,Vehicles,San Antonio,110,23,564.85,VNDAADD0D4D,2024-08-05,Active
AST185D0561,close simple,Furniture,Chicago,1,1,756.79,VNDAAF2A28A,2026-04-14,Active
AST038A97C7,some identify,Machinery,Phoenix,124,31,448.2,VND7B4F5D31,2024-01-29,Active
AST6F97C1E2,face price,Furniture,New York,85,19,677.18,VND6ACF147A,2024-09-02,Active
ASTF425BF50,inside cost,Infrastructure,San Diego,122,30,750.42,VND03F2A471,2024-05-25,Active
ASTCD5FE8B9,good population,Infrastructure,Philadelphia,21,5,526.52,VND417BDCE6,2024-01-29,Active
AST9A2DFC4E,page walk,Machinery,San Antonio,109,32,237.17,VND03F2A471,2025-12-26,Active
AST34FEDDC0,issue describe,Tools,Phoenix,114,25,862.12,VNDB8A208B5,2024-05-26,Active
AST678A5D60,piece local,Machinery,San Jose,21,6,361.17,VND221D1C44,2025-02-24,Active
AST79545446,she glass,Vehicles,Austin,50,5,558.99,VND2500CE76,2024-02-29,Low Stock
AST74E51920,lose land,Computers,Austin,25,6,370.81,VND03F2A471,2024-01-02,Active
AST94E32FF7,continue manage,Machinery,Philadelphia,88,11,234.49,VNDB643A5C9,2024-11-26,Active
AST78F3F4D3,up officer,Infrastructure,San Antonio,74,11,162.49,VND8CAEB48D,2024-07-08,Discontinued
ASTE9733EB9,return into,Furniture,New York,60,10,704.29,VND1199176D,2024-07-05,Low Stock
AST1A34D3A6,game effect,Furniture,San Jose,104,21,951.96,VNDCE923A65,2026-04-13,Discontinued
ASTE69901F6,lose network,Computers,New York,87,23,63.85,VND6E96F23C,2024-05-27,Active
ASTB7976E2F,threat think,Furniture,New York,40,4,752.19,VND5FBBF7E5,2025-01-20,Active
AST7F702636,garden candidate,Furniture,Austin,59,10,391.1,VND768A7583,2025-09-17,Active
ASTD000E709,attention soon,Furniture,Los Angeles,113,11,541.48,VND4520F17A,2025-12-19,Active
ASTEA4EE8A4,per way,Furniture,San Diego,47,8,896.46,VND38095B8C,2025-04-09,Active
AST1D547F3B,though half,Tools,Chicago,20,4,629.82,VND154E8965,2026-06-05,Active
AST6D1856F2,ground on,Machinery,Phoenix,119,19,849.61,VNDEA23339B,2026-01-03,Active
AST1F037A39,wrong newspaper,Tools,Los Angeles,37,6,746.97,VND9DFC7925,2024-03-22,Low Stock
ASTF5375070,step interview,Infrastructure,Philadelphia,85,11,146.62,VND9DFC7925,2025-03-13,Active
AST7B5AFE94,week always,Vehicles,Chicago,107,29,622.47,VND1FA33A03,2025-03-06,Active
AST59D4120B,claim describe,Tools,Austin,86,21,891.11,VND97FA9A66,2026-03-17,Active
ASTB092FE55,recent also,Tools,Jacksonville,178,36,739.29,VNDE6A4DD03,2025-07-04,Active
AST3B24D2C0,culture card,Computers,Austin,84,14,305.82,VNDD39C47AD,2025-09-19,Active
AST0CCE1D0A,thank reason,Vehicles,Dallas,1,1,230.1,VND111F855A,2025-11-27,Active
ASTBF7E5CD8,painting make,Vehicles,San Antonio,1,1,181.95,VNDBA0CC89B,2025-06-04,Active
AST828B1D39,group parent,Machinery,Dallas,119,17,315.23,VNDE6A4DD03,2025-04-30,Active
ASTB0D076C8,including what,Machinery,Dallas,80,17,261.41,VND139B2EB5,2025-07-06,Active
AST18C1E607,away challenge,Computers,Philadelphia,69,17,762.24,VNDE3830203,2026-01-01,Active
AST53A65D4B,over task,Machinery,San Jose,84,11,41.26,VND1DF449E3,2024-08-11,Active
AST6ADB8FD7,system still,Infrastructure,San Jose,82,23,73.22,VNDB8A208B5,2024-12-09,Active
AST2327C401,number list,Vehicles,San Antonio,64,15,295.3,VNDC73A3BD4,2024-06-17,Active
ASTCE29466D,senior gas,Furniture,San Antonio,160,46,54.85,VND9724A5FF,2025-07-29,Active
AST35B0248D,decade activity,Computers,Dallas,112,30,617.28,VND8BC82E76,2025-12-26,Active
AST31160663,treat bank,Infrastructure,Los Angeles,92,14,79.17,VNDF7742C98,2024-03-19,Active
AST60A7723E,create something,Furniture,Philadelphia,111,28,878.81,VND389A891A,2026-06-01,Active
AST29920098,into them,Infrastructure,Los Angeles,107,20,927.83,VND2D25DD42,2025-04-01,Active
ASTE8277F76,difficult here,Vehicles,San Antonio,133,22,874.61,VNDE1A395FA,2025-07-02,Active
AST7C33187C,stop eat,Tools,New York,73,14,515.79,VND109E5C6F,2026-04-05,Active
ASTCAD6E2FB,heavy identify,Machinery,Jacksonville,169,22,37.4,VND5FBBF7E5,2025-12-21,Active
AST8248D504,bring amount,Vehicles,Phoenix,66,11,300.31,VND154E8965,2026-01-27,Low Stock
AST1372D849,force hand,Computers,Los Angeles,8,1,114.44,VND1FA33A03,2024-06-20,Active
AST4CD2870C,that behavior,Vehicles,Dallas,107,22,946.21,VND0D050C25,2025-03-01,Active
AST2EBF11A6,yard drop,Infrastructure,Jacksonville,83,17,757.81,VNDEA23339B,2025-07-31,Active
ASTA62A9425,many mouth,Computers,San Antonio,135,29,335.95,VND10335071,2026-04-08,Low Stock
AST5DDB151C,seven rate,Infrastructure,Phoenix,101,11,416.41,VNDEB6F8ED3,2025-06-20,Low Stock
AST762ADD32,such huge,Tools,Austin,86,11,783.84,VND0D050C25,2024-05-29,Active
ASTB110F61C,alone bed,Tools,San Antonio,117,13,52.96,VND8E10A670,2026-05-04,Active
AST36F9B304,father yourself,Infrastructure,Austin,87,12,726.75,VNDAAF2A28A,2026-01-15,Active
AST15B19AE5,wind make,Computers,San Diego,67,8,903.67,VND7290C297,2024-01-08,Active
ASTA3D6349F,upon fight,Computers,New York,129,34,689.15,VND07A84740,2024-05-07,Active
AST247D9F2A,clearly safe,Vehicles,San Diego,55,9,58.68,VNDB3180A0E,2026-01-03,Active
ASTBE691347,deep none,Furniture,San Antonio,60,17,368.2,VNDA68A83A5,2026-03-16,Discontinued
ASTCA8DCEB2,itself carry,Infrastructure,San Jose,128,25,315.6,VND97FA9A66,2025-02-22,Active
AST77FFFB0F,region thus,Furniture,San Jose,170,45,462.0,VNDD2BB8334,2026-03-25,Low Stock
AST9B4319BB,follow outside,Machinery,San Jose,96,16,606.31,VND4520F17A,2025-07-17,Active
AST22698DB7,write performance,Machinery,Houston,94,23,70.51,VNDF78A924D,2025-01-20,Active
AST9DB37B14,be mouth,Infrastructure,Los Angeles,133,35,730.47,VND97E5802F,2024-12-14,Active
AST934BCBE8,both develop,Vehicles,New York,61,10,255.59,VND557FD788,2025-06-05,Active
AST66BEF96E,at opportunity,Infrastructure,San Jose,117,21,925.56,VND1306F6E1,2025-03-04,Active
AST5EC963AF,use actually,Infrastructure,New York,75,17,921.8,VNDC4092504,2025-04-01,Low Stock
AST7F11C356,business and,Machinery,San Diego,150,44,626.57,VND6F35B3AD,2024-03-08,Active
AST087A713B,compare activity,Computers,Chicago,131,27,736.39,VNDEB6F8ED3,2025-05-22,Active
AST78849CEE,hot first,Computers,Phoenix,54,9,635.19,VNDC995E3B7,2024-02-06,Discontinued
ASTCAD6FAD6,marriage green,Machinery,Austin,92,23,101.84,VNDF549E284,2026-04-06,Active
ASTB6F0F0A5,fact course,Furniture,Dallas,29,7,965.02,VND49098C56,2024-02-11,Active
AST421C9903,recent push,Tools,Phoenix,1,1,651.24,VND79774EB1,2024-11-11,Active
ASTF3A8F53D,three show,Furniture,Houston,89,16,408.22,VND5B2EC8F1,2025-07-25,Active
AST4D70A833,subject young,Vehicles,Jacksonville,147,41,939.84,VNDF464A966,2025-06-03,Active
AST4B4D121B,hard doctor,Machinery,Los Angeles,33,9,259.26,VND3FC620C0,2025-11-21,Active
AST8571E2BF,argue support,Vehicles,Philadelphia,62,11,792.95,VNDF549E284,2025-10-27,Active
AST6596721D,the sound,Furniture,New York,118,17,960.71,VND65B60718,2024-12-19,Active
AST264DCD76,pull improve,Tools,Chicago,71,15,376.06,VND417BDCE6,2024-10-09,Low Stock
AST8A64344C,drive ask,Computers,San Jose,48,8,764.86,VNDF909C443,2026-05-13,Active
AST5ACEB920,against wind,Infrastructure,Chicago,80,17,637.73,VND19CF5E06,2026-07-01,Low Stock
ASTDA323F7E,process since,Vehicles,San Diego,150,18,358.44,VND557FD788,2024-07-15,Active
AST39C721C2,stuff nature,Machinery,Los Angeles,124,24,298.1,VNDA0E8AF6C,2024-06-09,Active
AST1E021DA1,give interesting,Vehicles,Jacksonville,108,23,629.86,VND894C6368,2026-04-18,Low Stock
AST1B05EE8B,important he,Machinery,San Diego,11,2,582.01,VNDA6643FA7,2025-05-22,Low Stock
AST3F89744F,space future,Infrastructure,San Jose,65,9,33.29,VNDA957A7D0,2024-09-03,Active
AST362AA8F4,whether human,Computers,Philadelphia,67,13,939.04,VND1DF7F1DC,2025-03-15,Active
ASTB63E82B5,need few,Vehicles,Phoenix,104,26,869.31,VND4520F17A,2025-01-22,Active
AST8CBC687A,country account,Vehicles,Phoenix,105,30,494.56,VND020FD5AF,2025-09-14,Active
ASTEE42C6AD,training minute,Machinery,Chicago,48,8,440.34,VND97FA9A66,2024-07-22,Active
AST0375E82A,miss program,Infrastructure,Houston,130,38,306.91,VNDE05F71D7,2024-05-15,Low Stock
AST6CD8A04D,note beat,Furniture,Los Angeles,63,7,146.63,VNDA0E8AF6C,2026-01-01,Active
ASTD32DD162,former home,Tools,Chicago,188,28,163.67,VND7B4F5D31,2025-01-13,Active
AST41C9D81F,site able,Machinery,Austin,125,28,475.6,VND4D8ED92A,2024-10-08,Active
ASTC54CEA04,social will,Infrastructure,Jacksonville,81,16,171.97,VNDBA0CC89B,2026-04-24,Active
ASTAFB72422,television much,Tools,Los Angeles,109,21,292.84,VND3A80813D,2024-07-16,Active
ASTFBB63C7F,vote own,Vehicles,San Antonio,124,26,133.57,VND97E5802F,2025-10-04,Low Stock
AST52413A69,forget voice,Infrastructure,San Jose,64,17,807.45,VND34BC34BC,2024-01-29,Active
AST30444776,buy election,Vehicles,New York,1,1,428.73,VND97FA9A66,2026-01-21,Active
ASTA808D1FC,information still,Vehicles,Phoenix,142,16,862.82,VND7290C297,2025-10-23,Active
AST38E7FE3C,next blood,Computers,Austin,122,13,324.56,VND9E3DBA67,2025-12-04,Discontinued
AST2A95AB70,prevent amount,Computers,Houston,87,21,423.29,VND020FD5AF,2025-08-20,Active
ASTDC56307E,education number,Infrastructure,Austin,77,12,315.09,VND048CF2D5,2025-12-03,Low Stock
ASTF5FABEA3,bring south,Vehicles,Austin,125,26,216.71,VND19CF5E06,2025-05-07,Discontinued
AST7BB20252,because heavy,Computers,Chicago,75,16,191.47,VNDF7A9FFF9,2026-07-09,Active
AST9F116127,body top,Vehicles,Los Angeles,29,7,166.08,VND672E91CF,2025-02-25,Active
AST1E64EC3E,vote rate,Furniture,Philadelphia,112,16,762.2,VND4DC2D394,2024-05-04,Active
ASTAD71E1EA,out few,Furniture,Philadelphia,58,9,236.49,VNDE05F71D7,2025-01-06,Active
AST8708C809,purpose different,Infrastructure,Dallas,128,38,593.67,VND5B2EC8F1,2026-01-21,Active
ASTC25A8058,true write,Furniture,Jacksonville,206,40,687.21,VNDBC15E50D,2024-09-15,Active
AST5638342B,sing ready,Computers,Jacksonville,144,37,969.37,VND7B8206C3,2024-12-08,Active
AST90EBEA19,debate development,Machinery,Dallas,110,30,838.88,VND411B979D,2024-08-16,Active
ASTFF406684,share yet,Machinery,San Antonio,76,20,91.16,VND1C52ED63,2024-07-09,Low Stock
AST7BC98858,perform record,Furniture,Los Angeles,172,39,457.92,VNDD6FBFD33,2024-05-22,Active
AST77FB97FD,spend admit,Infrastructure,New York,51,9,841.52,VNDAE27E9B6,2024-04-12,Active
AST60A7F854,prevent meet,Computers,San Antonio,68,17,226.3,VND4EC61792,2024-04-06,Low Stock
ASTDC7762F7,community role,Machinery,San Diego,48,6,505.6,VNDEB6F8ED3,2024-01-02,Active
AST3EEED0C8,she establish,Machinery,New York,103,21,656.93,VND048CF2D5,2025-05-05,Active
AST3A23B71A,color they,Tools,New York,31,4,281.23,VND97E5802F,2024-09-08,Active
AST8E698204,opportunity attention,Computers,San Jose,62,12,659.12,VNDF909C443,2024-11-18,Discontinued
AST7D9ED221,leg physical,Computers,Houston,135,23,154.54,VNDBC15E50D,2026-06-15,Discontinued
ASTB36C6F29,wrong however,Furniture,San Antonio,35,7,274.83,VNDC178B24A,2025-11-27,Active
AST4E574247,red interview,Machinery,Philadelphia,157,44,905.86,VND7DD7F0E9,2024-05-26,Active
ASTA00C2E8F,marriage tree,Tools,Los Angeles,83,23,158.77,VND139B2EB5,2025-04-19,Active
AST99767344,sure low,Vehicles,San Diego,97,22,685.12,VND34264845,2026-06-08,Active
AST4E278F13,air value,Infrastructure,San Antonio,122,34,49.39,VND38095B8C,2025-09-19,Active
ASTC853ECBC,account food,Machinery,San Diego,123,36,887.93,VND8CAEB48D,2024-12-14,Active
AST23773B27,up type,Tools,Dallas,101,21,55.28,VND07F575C8,2025-01-09,Active
AST8F6585CF,enter whom,Furniture,San Jose,92,18,682.49,VNDBC15E50D,2025-06-08,Active
AST99896874,range floor,Infrastructure,San Diego,155,25,476.01,VNDF464A966,2026-04-22,Active
AST05E7C995,appear science,Vehicles,Jacksonville,123,36,240.53,VNDC73A3BD4,2025-02-09,Active
AST674EEFAC,though knowledge,Computers,San Diego,162,44,890.47,VND5B2EC8F1,2026-04-17,Active
ASTD355C459,the big,Machinery,Houston,59,16,824.08,VND139B2EB5,2025-07-22,Active
AST0B80F353,my response,Vehicles,Jacksonville,184,52,580.74,VND5FE97D0B,2025-12-01,Active
ASTF1508D64,happen should,Vehicles,Dallas,182,21,201.23,VNDAE27E9B6,2024-12-10,Discontinued
ASTDFD82BBD,something now,Machinery,Dallas,122,35,615.64,VNDDA6D8C81,2025-04-17,Active
AST08F33C34,guy this,Furniture,Austin,165,30,382.29,VND18221D96,2025-10-01,Active
AST4C4F4F5C,play yeah,Infrastructure,Phoenix,85,23,796.68,VND2500CE76,2025-03-26,Active
ASTB6C96B53,herself dog,Computers,San Antonio,137,29,130.2,VNDA74DADEC,2025-07-03,Active
AST7CBC68EB,a also,Infrastructure,Jacksonville,165,33,979.29,VND3D2A9A3A,2026-07-25,Active
AST44B32047,charge concern,Vehicles,Phoenix,102,14,29.52,VNDE1A395FA,2025-09-04,Active
AST455AEDE1,sense these,Computers,Philadelphia,101,26,951.38,VND109E5C6F,2024-12-29,Active
AST094940BA,various fill,Furniture,Philadelphia,81,23,630.15,VNDA68A83A5,2026-02-21,Low Stock
AST3770ED89,lawyer wall,Infrastructure,San Diego,111,30,60.28,VNDC995E3B7,2025-08-12,Discontinued
AST7679A3D0,itself human,Computers,San Diego,102,19,415.52,VND616471F8,2025-11-09,Active
ASTF185123A,reach simply,Infrastructure,Philadelphia,222,33,884.52,VNDA9CEA40D,2024-04-26,Active
AST3FD6E9BD,loss treatment,Infrastructure,San Jose,63,14,216.14,VNDF78A924D,2024-07-20,Active
AST22B89F62,instead pass,Infrastructure,San Antonio,54,10,978.03,VND859AA544,2024-08-17,Active
AST2D089196,development speak,Computers,San Antonio,167,39,535.58,VNDA68A83A5,2024-08-28,Active
ASTC48BF7B7,kind give,Machinery,San Antonio,90,26,734.97,VNDC939E188,2024-11-20,Active
AST2F9B84CB,wish despite,Tools,Dallas,77,12,970.53,VND616471F8,2024-03-07,Active
AST503AD19E,executive western,Computers,Los Angeles,63,14,351.94,VND9EBB9EB2,2026-05-16,Active
AST1FECC009,he score,Vehicles,Houston,34,8,171.73,VNDE6156EFE,2025-02-20,Active
