event_id,event_type,severity,department,employee_id,location,created_at,resolved_at,status,requires_approval
EVT4B1D1E16,Purchase Request,Normal,Finance,EMPCEB118DF,Chicago,2024-07-13 00:00:00,,Pending,No
EVT0B4E3789,Equipment Failure,Critical,Manufacturing,EMP25E3B2F0,Phoenix,2024-05-25 00:00:00,2024-05-27 00:00:00,Resolved,No
EVT0E7251F9,Cyber Alert,Warning,Finance,EMPCFA44E08,San Jose,2024-12-15 00:00:00,2024-12-22 00:00:00,Escalated,No
EVTF478296F,Compliance Issue,Normal,Procurement,EMPAC8608BD,Chicago,2024-08-22 00:00:00,2024-09-05 00:00:00,Resolved,Yes
EVT885592C8,Inventory Shortage,Critical,IT,EMP280BD588,Dallas,2024-03-27 00:00:00,2024-03-28 00:00:00,Resolved,No
EVT793ACFEC,Equipment Failure,Warning,Finance,EMP26E04025,Chicago,2024-09-19 00:00:00,2024-09-25 00:00:00,Resolved,Yes
EVT819F1DA2,Employee Injury,Critical,Quality,EMP968D6105,Phoenix,2024-09-02 00:00:00,2024-09-05 00:00:00,Resolved,Yes
EVT098DFD6F,Compliance Issue,Critical,Sales,EMPFCC31417,Philadelphia,2024-01-05 00:00:00,2024-01-07 00:00:00,Resolved,No
EVT17123472,Employee Injury,Warning,HR,EMP47E23C9C,Dallas,2024-10-10 00:00:00,2024-10-16 00:00:00,Resolved,Yes
EVTE157BA8A,Power Outage,Critical,IT,EMPCC904819,Jacksonville,2024-10-09 00:00:00,,Pending,Yes
EVTB95A8127,Cyber Alert,Warning,Sales,EMP320516AE,Philadelphia,2024-10-06 00:00:00,,Pending,No
EVTE9B86411,Vendor Delay,Critical,Sales,EMP3171E9C1,Austin,2024-03-13 00:00:00,,Pending,No
EVT35C38579,Power Outage,Critical,Operations,EMP6D15312E,San Antonio,2024-08-24 00:00:00,2024-08-27 00:00:00,Resolved,No
EVT55B33264,Inventory Shortage,Warning,Operations,EMP07712ACB,Houston,2024-05-28 00:00:00,2024-06-04 00:00:00,Resolved,Yes
EVT4678AB9E,Customer Escalation,Normal,Finance,EMP40C28BFC,San Diego,2024-04-01 00:00:00,2024-04-13 00:00:00,Escalated,No
EVT83566D4F,Employee Injury,Warning,IT,EMPD7C43B3E,New York,2024-07-27 00:00:00,2024-08-02 00:00:00,Resolved,No
EVTD65122F0,Employee Injury,Critical,Procurement,EMPD7DA0A21,Phoenix,2024-12-07 00:00:00,2024-12-08 00:00:00,Resolved,Yes
EVT458F9E07,Equipment Failure,Critical,Logistics,EMPA89E7E6F,Chicago,2024-03-29 00:00:00,2024-03-31 00:00:00,Resolved,Yes
EVTD0464354,Equipment Failure,Warning,Logistics,EMP0C906274,New York,2024-09-29 00:00:00,2024-10-05 00:00:00,Resolved,Yes
EVTCE01832E,Cyber Alert,Warning,Marketing,EMPE13D5555,Los Angeles,2024-07-06 00:00:00,2024-07-10 00:00:00,Resolved,Yes
EVTBFAA6668,Vendor Delay,Warning,Logistics,EMPA3360406,New York,2024-07-09 00:00:00,2024-07-14 00:00:00,Resolved,No
EVTD320F7D3,Machine Breakdown,Critical,Sales,EMP56755065,New York,2024-06-21 00:00:00,,Pending,Yes
EVT4719D1E8,Machine Breakdown,Warning,IT,EMP2D8E1AAE,Chicago,2024-05-10 00:00:00,2024-05-13 00:00:00,Resolved,Yes
EVT1F62D1F4,Employee Injury,Warning,Logistics,EMP6C3B07A7,Austin,2024-07-01 00:00:00,2024-07-07 00:00:00,Resolved,Yes
EVT58129487,Purchase Request,Normal,Manufacturing,EMP56299863,New York,2024-12-01 00:00:00,,Pending,Yes
EVTA20F7CBF,Cyber Alert,Normal,Quality,EMPB915B341,Austin,2024-01-12 00:00:00,2024-01-21 00:00:00,Resolved,No
EVTB085BE38,Vendor Delay,Warning,Sales,EMP190A4315,Phoenix,2024-09-30 00:00:00,,Pending,Yes
EVT9B929B15,Purchase Request,Warning,Sales,EMP3E013FEB,Phoenix,2024-09-09 00:00:00,2024-09-12 00:00:00,Resolved,No
EVT0D336045,Employee Injury,Critical,Finance,EMP452BA220,Los Angeles,2024-05-31 00:00:00,2024-06-03 00:00:00,Resolved,No
EVT333432B0,Cyber Alert,Critical,Marketing,EMP53912D7A,Austin,2024-07-30 00:00:00,2024-08-01 00:00:00,Resolved,No
EVTCF912C18,Inventory Shortage,Critical,Procurement,EMPF9C1A28A,San Antonio,2024-01-22 00:00:00,2024-01-25 00:00:00,Resolved,Yes
EVT860E55D5,Compliance Issue,Warning,Sales,EMPEBF6E82F,San Diego,2024-01-29 00:00:00,2024-02-01 00:00:00,Resolved,Yes
EVTEA07ADB2,Purchase Request,Warning,Procurement,EMP357993D7,San Jose,2024-06-18 00:00:00,2024-06-22 00:00:00,Resolved,No
EVTB45F92F7,Employee Injury,Warning,Sales,EMP27DEF90C,San Jose,2024-06-05 00:00:00,2024-06-12 00:00:00,Resolved,Yes
EVTE6ADAE9E,Purchase Request,Normal,HR,EMP30CBE43D,New York,2024-08-24 00:00:00,2024-09-01 00:00:00,Resolved,Yes
EVTFF16FCE0,Employee Injury,Normal,IT,EMP9FC5204E,San Diego,2024-12-13 00:00:00,2024-12-21 00:00:00,Resolved,No
EVTD077D776,Machine Breakdown,Normal,Sales,EMPF2CF4638,Houston,2024-10-17 00:00:00,,Pending,No
EVTEF3BBD8F,Power Outage,Critical,Quality,EMP5ED24F8E,San Jose,2024-06-27 00:00:00,,Pending,No
EVT524F3CD4,Machine Breakdown,Critical,HR,EMPA0A998A0,Jacksonville,2024-06-22 00:00:00,2024-06-24 00:00:00,Resolved,No
EVTB4A79F7E,Customer Escalation,Warning,Operations,EMPB55BD896,Dallas,2024-10-01 00:00:00,2024-10-08 00:00:00,Resolved,No
EVT6DD5C955,Compliance Issue,Warning,HR,EMP5C9CFBAC,Austin,2024-07-04 00:00:00,2024-07-11 00:00:00,Resolved,Yes
EVTD822F520,Cyber Alert,Warning,Sales,EMPA82AA68A,San Diego,2024-11-09 00:00:00,,Pending,No
EVTA29A0118,Equipment Failure,Critical,Logistics,EMP1F8AFD62,San Jose,2024-06-19 00:00:00,2024-06-21 00:00:00,Resolved,Yes
EVT8A2D3E56,Inventory Shortage,Normal,Logistics,EMPC66C3DE2,Jacksonville,2024-01-03 00:00:00,2024-01-12 00:00:00,Resolved,Yes
EVT79B1B020,Employee Injury,Normal,Finance,EMP5DCEA1AA,Los Angeles,2024-03-06 00:00:00,,Pending,Yes
EVT11816A99,Compliance Issue,Critical,Sales,EMPC1CBA014,San Jose,2024-01-04 00:00:00,,Pending,No
EVTB8D104C9,Vendor Delay,Normal,Quality,EMPAC1CB991,Jacksonville,2024-07-04 00:00:00,2024-07-16 00:00:00,Resolved,No
EVTE9B377F2,Employee Injury,Warning,Sales,EMPD55FE967,San Antonio,2024-09-28 00:00:00,2024-10-03 00:00:00,Resolved,No
EVT15F2F854,Equipment Failure,Critical,HR,EMP9133B9E2,Philadelphia,2024-07-17 00:00:00,2024-07-18 00:00:00,Resolved,No
EVT65DC1598,Inventory Shortage,Warning,IT,EMP2ECECB2D,New York,2024-05-09 00:00:00,2024-05-14 00:00:00,Resolved,No
EVT2443DAD0,Cyber Alert,Warning,Operations,EMPC8BFB27F,Austin,2024-02-12 00:00:00,2024-02-17 00:00:00,Resolved,No
EVTCEA0FECC,Cyber Alert,Critical,Quality,EMP4A5A9B83,Phoenix,2024-12-29 00:00:00,,Pending,Yes
EVTFE67424E,Vendor Delay,Warning,Logistics,EMP4CF49135,Philadelphia,2024-01-28 00:00:00,2024-02-03 00:00:00,Resolved,Yes
EVT89172726,Customer Escalation,Critical,HR,EMP20A874B2,San Diego,2024-07-16 00:00:00,2024-07-17 00:00:00,Resolved,No
EVT888295F2,Customer Escalation,Warning,HR,EMP0211FB47,Phoenix,2024-05-28 00:00:00,,Pending,No
EVT2881952A,Inventory Shortage,Warning,Sales,EMPDB182E9D,San Antonio,2024-08-01 00:00:00,2024-08-05 00:00:00,Resolved,Yes
EVTB9F29A0F,Power Outage,Critical,IT,EMPA3808D38,Jacksonville,2024-06-09 00:00:00,,Pending,Yes
EVT3849B714,Machine Breakdown,Critical,Quality,EMP15CDC007,New York,2024-01-15 00:00:00,2024-01-16 00:00:00,Resolved,No
EVT18234850,Compliance Issue,Warning,Logistics,EMP13E7B9EA,Philadelphia,2024-03-21 00:00:00,,Pending,No
EVTF539D93A,Vendor Delay,Normal,Finance,EMP2A7056E0,San Antonio,2024-09-02 00:00:00,,Pending,No
EVT9B3B2681,Customer Escalation,Normal,Manufacturing,EMPE9DF42C0,San Diego,2024-08-27 00:00:00,2024-09-09 00:00:00,Resolved,No
EVT22858A0A,Purchase Request,Normal,HR,EMP58C9B5A2,Jacksonville,2024-11-10 00:00:00,2024-11-21 00:00:00,Resolved,No
EVTEDFD4E92,Equipment Failure,Critical,HR,EMP83521911,Houston,2024-06-25 00:00:00,2024-06-28 00:00:00,Resolved,No
EVT795B39ED,Cyber Alert,Warning,Quality,EMP811FDB76,Dallas,2024-12-29 00:00:00,2025-01-03 00:00:00,Resolved,No
EVT66F85E03,Inventory Shortage,Warning,Quality,EMP2A059E13,Dallas,2024-01-15 00:00:00,2024-01-18 00:00:00,Resolved,No
EVT01CE9EF2,Power Outage,Normal,Manufacturing,EMPAB1AC7EB,Phoenix,2024-02-05 00:00:00,2024-02-12 00:00:00,Resolved,No
EVT1B6F4843,Cyber Alert,Critical,Manufacturing,EMPD80F9195,Los Angeles,2024-11-04 00:00:00,2024-11-05 00:00:00,Resolved,No
EVTFF80CCC6,Customer Escalation,Warning,Quality,EMPA55A2B7D,Los Angeles,2024-05-13 00:00:00,,Pending,Yes
EVTA7077453,Power Outage,Warning,Operations,EMPA9FECFD7,San Diego,2024-02-18 00:00:00,2024-02-21 00:00:00,Resolved,Yes
EVTB574CB97,Power Outage,Critical,HR,EMPE6041286,San Antonio,2024-06-28 00:00:00,2024-07-01 00:00:00,Resolved,No
EVT3BE65385,Inventory Shortage,Normal,Operations,EMP2E512AE1,Phoenix,2024-11-30 00:00:00,2024-12-14 00:00:00,Resolved,No
EVTB3666AF0,Machine Breakdown,Warning,Finance,EMP3A80A3B6,Philadelphia,2024-03-13 00:00:00,,Pending,No
EVT2D019FAB,Employee Injury,Critical,Quality,EMP6F19105E,Chicago,2024-04-05 00:00:00,2024-04-08 00:00:00,Resolved,No
EVTCD6F42F8,Equipment Failure,Critical,Logistics,EMP1994E236,Jacksonville,2024-06-27 00:00:00,2024-06-29 00:00:00,Resolved,Yes
EVTEAE5447B,Vendor Delay,Warning,Procurement,EMP0DBB486F,New York,2024-09-10 00:00:00,,Pending,No
EVT9E659660,Compliance Issue,Warning,Procurement,EMP4ACFA3D3,Chicago,2024-09-22 00:00:00,,Pending,No
EVTC991EEF6,Employee Injury,Warning,Finance,EMPD53FC38F,Los Angeles,2024-02-27 00:00:00,,Pending,No
EVT35AB2E7C,Employee Injury,Critical,Finance,EMP512700CC,Philadelphia,2024-01-01 00:00:00,,Pending,No
EVT96966393,Cyber Alert,Warning,Procurement,EMP1146242E,Chicago,2024-01-26 00:00:00,2024-01-31 00:00:00,Resolved,No
EVT87169BF2,Equipment Failure,Normal,Procurement,EMPEDEAD351,San Jose,2024-09-09 00:00:00,,Pending,No
EVT6E1C79DF,Employee Injury,Normal,Marketing,EMPBCCFC4FF,Houston,2024-10-25 00:00:00,,Pending,Yes
EVT3334E996,Power Outage,Warning,Procurement,EMPE0D43422,Chicago,2024-07-20 00:00:00,2024-07-26 00:00:00,Resolved,No
EVT324F5056,Power Outage,Critical,Sales,EMPC0CA9173,Chicago,2024-10-21 00:00:00,2024-10-22 00:00:00,Resolved,Yes
EVT32097A38,Compliance Issue,Normal,Sales,EMP9945ACDE,Phoenix,2024-06-29 00:00:00,2024-07-14 00:00:00,Resolved,No
EVT95B1F094,Employee Injury,Critical,Sales,EMPDA53DB9B,Phoenix,2024-01-16 00:00:00,2024-01-18 00:00:00,Resolved,No
EVT8D3AA25F,Machine Breakdown,Warning,Marketing,EMPA1313006,San Antonio,2024-08-04 00:00:00,2024-08-10 00:00:00,Resolved,Yes
EVT35F48816,Employee Injury,Critical,Manufacturing,EMP7EC19525,San Jose,2024-08-06 00:00:00,2024-08-08 00:00:00,Resolved,No
EVT9EAF0EE9,Compliance Issue,Normal,Finance,EMP9FE5B486,Los Angeles,2024-05-07 00:00:00,2024-05-22 00:00:00,Resolved,No
EVTBE1B83AB,Equipment Failure,Critical,Marketing,EMP97A2A684,Austin,2024-01-03 00:00:00,2024-01-04 00:00:00,Escalated,No
EVT12630C45,Compliance Issue,Warning,HR,EMPF202D858,Austin,2024-09-05 00:00:00,2024-09-09 00:00:00,Resolved,Yes
EVTF7DF323B,Machine Breakdown,Warning,Manufacturing,EMPF6B5A80A,Austin,2024-08-31 00:00:00,,Pending,No
EVTA21E4AD8,Purchase Request,Normal,Quality,EMP622918A9,Dallas,2024-01-07 00:00:00,,Pending,Yes
EVT34E23C82,Machine Breakdown,Warning,IT,EMPB924478F,San Diego,2024-01-11 00:00:00,,Pending,No
EVTE189CD79,Inventory Shortage,Normal,Quality,EMPEF04A963,Phoenix,2024-02-09 00:00:00,2024-02-18 00:00:00,Resolved,Yes
EVTF4690B50,Vendor Delay,Warning,Manufacturing,EMPCEA459AD,Austin,2024-11-16 00:00:00,2024-11-20 00:00:00,Resolved,Yes
EVTB8904253,Cyber Alert,Critical,Procurement,EMPF31D457D,Los Angeles,2024-01-06 00:00:00,2024-01-09 00:00:00,Resolved,No
EVT53ED55BD,Inventory Shortage,Warning,Quality,EMPE74CB660,Chicago,2024-04-26 00:00:00,2024-04-29 00:00:00,Resolved,No
EVT39CE1AFC,Inventory Shortage,Normal,Procurement,EMP5E9AFDC6,Austin,2024-12-16 00:00:00,2024-12-31 00:00:00,Resolved,No
EVTD428463A,Employee Injury,Critical,Sales,EMPEBF2D786,New York,2024-07-22 00:00:00,,Pending,No
EVTC5CB1B93,Power Outage,Normal,HR,EMPDBA053DD,Jacksonville,2024-09-03 00:00:00,2024-09-12 00:00:00,Resolved,Yes
EVT02E4AD15,Compliance Issue,Critical,Sales,EMPF7542BEF,New York,2024-04-26 00:00:00,2024-04-29 00:00:00,Resolved,No
EVTE77136F2,Employee Injury,Critical,Procurement,EMP418A4849,Chicago,2024-05-26 00:00:00,2024-05-27 00:00:00,Resolved,Yes
EVTE5481CA1,Cyber Alert,Critical,Logistics,EMP8CC4BD7C,San Jose,2024-10-23 00:00:00,2024-10-24 00:00:00,Escalated,Yes
EVT7CCEFF5C,Purchase Request,Normal,Quality,EMP6CF71A0D,Austin,2024-07-09 00:00:00,2024-07-24 00:00:00,Escalated,No
EVT5D984AFD,Inventory Shortage,Warning,Operations,EMP246A62B7,San Jose,2024-01-11 00:00:00,2024-01-18 00:00:00,Resolved,No
EVT472739FE,Power Outage,Critical,Manufacturing,EMP3B681129,San Jose,2024-12-24 00:00:00,2024-12-25 00:00:00,Resolved,Yes
EVTEF647833,Inventory Shortage,Critical,Quality,EMP8B529BB7,Houston,2024-11-20 00:00:00,2024-11-22 00:00:00,Resolved,No
EVT5B25D6DD,Machine Breakdown,Critical,Finance,EMP31B2EA90,Chicago,2024-08-07 00:00:00,2024-08-09 00:00:00,Resolved,Yes
EVT85F85EAB,Vendor Delay,Warning,Quality,EMP0E6F5CF2,Los Angeles,2024-10-24 00:00:00,2024-10-27 00:00:00,Resolved,Yes
EVTD5C359ED,Power Outage,Normal,Operations,EMP4A8886A7,New York,2024-11-06 00:00:00,2024-11-19 00:00:00,Resolved,No
EVTF154E707,Purchase Request,Normal,IT,EMP30D8FDC9,Jacksonville,2024-02-17 00:00:00,,Pending,No
EVT09AF7FC0,Cyber Alert,Critical,Marketing,EMP8B267502,Chicago,2024-01-10 00:00:00,2024-01-11 00:00:00,Resolved,Yes
EVTF71E626D,Equipment Failure,Critical,Sales,EMPCB4F7B43,Austin,2024-05-04 00:00:00,,Pending,No
EVT0BF72DE9,Purchase Request,Normal,Procurement,EMP32C81B0A,Dallas,2024-06-28 00:00:00,2024-07-11 00:00:00,Resolved,Yes
EVTB8B6AF27,Inventory Shortage,Normal,HR,EMPF1045444,Chicago,2024-04-30 00:00:00,2024-05-13 00:00:00,Resolved,No
EVT7A1224F0,Equipment Failure,Critical,Quality,EMP0AACA25D,Houston,2024-03-30 00:00:00,2024-04-01 00:00:00,Resolved,No
EVT3A77B5F5,Customer Escalation,Normal,Marketing,EMPAB653633,Phoenix,2024-04-09 00:00:00,,Pending,Yes
EVTEECB2B4E,Cyber Alert,Critical,Procurement,EMPAB9CF802,Houston,2024-01-09 00:00:00,2024-01-12 00:00:00,Resolved,Yes
EVTFFCBA148,Inventory Shortage,Normal,Quality,EMP148B1119,Philadelphia,2024-05-03 00:00:00,2024-05-15 00:00:00,Escalated,Yes
EVT717A4020,Cyber Alert,Critical,Marketing,EMP07CCAD5E,Dallas,2024-06-21 00:00:00,2024-06-24 00:00:00,Escalated,No
EVTBAADCCCE,Compliance Issue,Warning,Quality,EMPA8A88A72,San Antonio,2024-02-22 00:00:00,2024-02-27 00:00:00,Escalated,No
EVT4BCB38C4,Power Outage,Warning,Logistics,EMPC027B805,Austin,2024-05-01 00:00:00,2024-05-05 00:00:00,Resolved,Yes
EVTD54A778B,Compliance Issue,Critical,Operations,EMP9F9F74E1,Austin,2024-07-26 00:00:00,2024-07-27 00:00:00,Resolved,Yes
EVT2E2B7D04,Power Outage,Critical,HR,EMPA13670AA,Philadelphia,2024-02-21 00:00:00,,Pending,No
EVTA6D74926,Customer Escalation,Warning,Finance,EMPDCEFF7B6,Austin,2024-01-16 00:00:00,2024-01-19 00:00:00,Resolved,Yes
EVT6F58D097,Inventory Shortage,Warning,IT,EMPE49FD8D1,Phoenix,2024-05-01 00:00:00,2024-05-07 00:00:00,Escalated,No
EVTB2FF295C,Equipment Failure,Critical,Marketing,EMP881397BA,San Antonio,2024-03-09 00:00:00,2024-03-10 00:00:00,Resolved,No
EVTE7C6B313,Vendor Delay,Warning,Sales,EMPAF9B2310,Houston,2024-09-14 00:00:00,,Pending,No
EVTE3F9E02C,Machine Breakdown,Critical,Quality,EMP3373FE39,Phoenix,2024-02-07 00:00:00,,Pending,No
EVT7D8A8C71,Vendor Delay,Warning,Finance,EMP6969662C,New York,2024-05-11 00:00:00,2024-05-14 00:00:00,Resolved,No
EVTDFA6D581,Vendor Delay,Warning,Finance,EMPC246D5BA,Los Angeles,2024-10-27 00:00:00,2024-10-31 00:00:00,Resolved,Yes
EVTECD95FC7,Vendor Delay,Warning,HR,EMP5178E4F5,Dallas,2024-06-12 00:00:00,2024-06-17 00:00:00,Resolved,No
EVT80AA07C1,Customer Escalation,Normal,Sales,EMPC351DD0E,Jacksonville,2024-01-06 00:00:00,,Pending,No
EVTF18076A4,Power Outage,Critical,HR,EMP2A950851,Dallas,2024-01-11 00:00:00,2024-01-14 00:00:00,Resolved,Yes
EVTFFFDDEEB,Inventory Shortage,Critical,Procurement,EMP7F08D1B3,Philadelphia,2024-01-16 00:00:00,2024-01-18 00:00:00,Resolved,Yes
EVTEAC2EDFF,Vendor Delay,Normal,Finance,EMP1B09BF39,New York,2024-05-04 00:00:00,2024-05-17 00:00:00,Resolved,No
EVT6E32EC71,Customer Escalation,Warning,Manufacturing,EMPCCC9E938,Houston,2024-06-30 00:00:00,,Pending,No
EVTFF39B1E5,Customer Escalation,Normal,Procurement,EMP1FE985AD,Houston,2024-01-28 00:00:00,2024-02-11 00:00:00,Escalated,Yes
EVT445148E4,Power Outage,Critical,Manufacturing,EMP0D1E5883,Phoenix,2024-12-12 00:00:00,2024-12-15 00:00:00,Resolved,No
EVT963BFA81,Employee Injury,Critical,Operations,EMPEC91D9A3,Dallas,2024-06-11 00:00:00,2024-06-13 00:00:00,Resolved,Yes
